Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.2,7.694428211420869,0.9501953125,51,216,42,156,3,18,0,0,0,0,0,0
0.30000000000000004,11.492337277510657,0.7529296875,253,1626,106,496,33,230,4,37,0,0,0,0
0.4,6.97568244509713,0.7724609375,233,1274,134,556,33,202,0,0,0,0,0,0
0.5,11.857444070371688,0.552734375,458,3170,113,522,43,290,14,111,1,10,0,0
0.6000000000000001,9.601033182496959,0.359375,656,4572,188,950,80,562,19,172,0,0,0,0
0.7,8.110346780011682,0.2119140625,807,5696,174,852,83,514,24,205,2,26,0,0
0.8,7.110280180633806,0.0341796875,989,7432,65,360,48,298,29,190,9,53,0,0
0.2,7.360278804867595,0.962890625,38,158,26,84,4,17,0,0,0,0,0,0
0.30000000000000004,12.188944043602124,0.85546875,148,852,79,342,23,151,0,0,0,0,0,0
0.4,5.353247475600248,0.6923828125,315,1664,192,784,41,243,0,0,0,0,0,0
0.5,13.127761474066492,0.5595703125,451,2912,148,648,53,331,12,85,0,0,0,0
0.6000000000000001,11.354473638663897,0.1865234375,833,6080,113,582,56,360,22,172,6,38,0,0
0.7,11.253524579185662,0.1181640625,903,6692,84,416,49,283,24,158,4,28,1,7
0.8,11.071590067378878,0.099609375,922,6800,97,470,55,328,23,167,8,67,0,0
0.2,5.89337062548621,0.9501953125,51,210,33,100,6,24,0,0,0,0,0,0
0.30000000000000004,14.892219407524923,0.8486328125,155,1064,65,326,18,147,3,38,0,0,0,0
0.4,11.040770433372781,0.6220703125,387,2618,132,654,49,347,9,72,0,0,0,0
0.5,7.682508533348795,0.5322265625,479,3038,209,940,54,400,9,102,0,0,0,0
0.6000000000000001,14.141360697176852,0.375,640,4596,109,526,37,255,11,101,2,26,1,14
0.7,7.659886230845175,0.0927734375,929,6882,119,604,58,377,21,177,8,77,0,0
0.8,12.648654096872097,0.0009765625,1023,7802,15,74,12,62,9,46,6,29,3,12
0.2,6.1335839305072515,0.9658203125,35,142,32,120,1,7,0,0,0,0,0,0
0.30000000000000004,13.481198944195722,0.9306640625,71,384,38,146,11,68,0,0,0,0,0,0
0.4,7.756694927683051,0.708984375,298,1796,163,764,41,296,1,8,0,0,0,0
0.5,9.639781850055616,0.5078125,504,3388,165,766,61,413,13,117,0,0,0,0
0.6000000000000001,14.18589441071642,0.205078125,814,5982,97,478,55,343,22,158,2,22,1,14
0.7,9.144392444014894,0.08984375,932,6890,113,614,69,436,31,217,5,34,0,0
0.8,9.13401425059663,0.033203125,990,7442,90,476,56,352,29,199,8,74,0,0
0.2,13.167959561585004,0.9228515625,79,484,34,152,11,71,1,5,0,0,0,0
0.30000000000000004,7.54024520052195,0.8447265625,159,866,90,382,23,130,0,0,0,0,0,0
0.4,8.975478776212602,0.646484375,362,2338,137,628,47,316,7,63,0,0,0,0
0.5,9.074068435742227,0.5107421875,501,3284,171,772,58,379,13,116,0,0,0,0
0.6000000000000001,14.753643105447223,0.2109375,808,5982,97,470,49,311,23,168,6,52,0,0
0.7,11.594677219023353,0.111328125,910,6756,106,560,52,345,22,166,8,70,0,0
0.8,6.735652150234389,0.04296875,980,7332,101,532,61,377,30,220,7,63,0,0
0.2,11.269363281953508,0.9169921875,85,526,43,196,10,77,1,11,0,0,0,0
0.30000000000000004,13.796298690519178,0.8544921875,149,884,68,280,19,123,2,18,0,0,0,0
0.4,9.801906316293666,0.7216796875,285,1804,105,446,36,235,6,56,0,0,0,0
0.5,11.939950888977378,0.4453125,568,3990,148,738,64,443,19,165,0,0,0,0
0.6000000000000001,11.843378982467971,0.2265625,792,5698,129,630,65,415,23,182,4,35,0,0
0.7,12.209120613934196,0.1279296875,893,6642,95,486,54,344,29,206,6,44,0,0
0.8,7.31463615417034,0.029296875,994,7488,55,272,29,184,19,136,5,43,2,20
0.2,8.820213032869269,0.955078125,46,242,31,128,5,36,0,0,0,0,0,0
0.30000000000000004,14.413499511590949,0.8203125,184,1262,67,320,19,147,5,58,0,0,0,0
0.4,11.866330902338301,0.7236328125,283,1860,100,464,37,252,6,51,0,0,0,0
0.5,8.141776954661534,0.525390625,486,3226,192,944,70,513,7,66,0,0,0,0
0.6000000000000001,5.431324649072246,0.2744140625,743,4998,272,1360,97,688,15,150,0,0,0,0
0.7,7.41826215153754,0.0517578125,971,7252,131,730,76,518,23,180,7,59,0,0
0.8,7.014061580255077,0.046875,976,7302,103,572,63,417,29,207,7,44,0,0
0.2,11.071700010816665,0.947265625,54,310,30,132,8,52,0,0,0,0,0,0
0.30000000000000004,9.755679819987366,0.837890625,166,1000,88,394,18,130,2,22,0,0,0,0
0.4,10.184936841836763,0.6875,320,2038,149,722,45,321,3,31,0,0,0,0
0.5,7.896919386578065,0.5546875,456,2890,204,930,60,433,6,61,0,0,0,0
0.6000000000000001,8.544319766263126,0.279296875,738,5184,177,886,79,526,23,176,1,12,0,0
0.7,9.425325794844177,0.0693359375,953,7126,95,502,46,309,24,172,5,31,1,6
0.8,12.649246401277836,0.0341796875,989,7434,59,292,34,196,17,110,9,62,1,6
0.2,8.36439016849906,0.9794921875,21,114,12,48,3,18,0,0,0,0,0,0
0.30000000000000004,13.981212059808461,0.9208984375,81,478,42,182,13,91,0,0,0,0,0,0
0.4,7.105064899854269,0.73828125,268,1584,142,626,30,220,3,31,0,0,0,0
0.5,8.825207235521555,0.4775390625,535,3596,190,898,67,470,12,125,0,0,0,0
0.6000000000000001,13.866451723183392,0.1982421875,821,5986,122,602,57,366,24,173,5,40,0,0
0.7,9.896845560283829,0.1845703125,835,6010,151,758,72,471,31,236,2,14,0,0
0.8,7.434321745561623,0.0380859375,985,7368,85,448,52,322,22,155,10,71,0,0
0.2,10.80928464585348,0.9833984375,17,76,17,76,0,0,0,0,0,0,0,0
0.30000000000000004,8.941457266252783,0.84765625,156,900,75,322,23,139,1,10,0,0,0,0
0.4,13.560851876013569,0.75390625,252,1622,102,476,34,224,4,36,0,0,0,0
0.5,6.284052300727029,0.4833984375,529,3320,256,1226,75,538,4,45,0,0,0,0
0.6000000000000001,14.810559821055877,0.3486328125,667,4744,97,418,38,217,14,92,2,18,1,11
0.7,9.446815977146535,0.169921875,850,6134,133,660,71,434,26,195,4,33,0,0
0.8,13.40477682046853,0.1123046875,909,6754,72,332,39,220,16,100,7,53,1,7
0.2,10.682992331480927,0.98046875,20,80,14,42,2,9,0,0,0,0,0,0
0.30000000000000004,12.9725372519286,0.83203125,172,1070,73,326,25,164,2,18,0,0,0,0
0.4,7.419630028691494,0.7568359375,249,1412,141,614,32,208,1,11,0,0,0,0
0.5,7.014442094487723,0.46484375,548,3630,197,930,73,495,11,111,0,0,0,0
0.6000000000000001,12.291816127269563,0.392578125,622,4374,127,590,49,325,17,146,3,26,0,0
0.7,8.698260352209509,0.1494140625,871,6384,130,648,59,396,23,184,6,59,0,0
0.8,11.845598782398891,0.064453125,958,7178,79,398,45,278,22,154,10,76,0,0
0.2,7.313615360870648,0.9677734375,33,128,30,108,1,7,0,0,0,0,0,0
0.30000000000000004,12.084249622993699,0.8359375,168,992,81,338,21,130,2,22,0,0,0,0
0.4,14.093211595982035,0.681640625,326,2232,104,494,38,271,9,86,0,0,0,0
0.5,12.67336432376428,0.609375,400,2620,127,528,35,229,10,83,1,12,0,0
0.6000000000000001,12.848703578451172,0.2177734375,801,5880,111,578,58,384,27,200,4,25,0,0
0.7,10.002567788076036,0.076171875,946,7052,91,482,57,352,29,202,7,53,0,0
0.8,14.242856267792542,0.1083984375,913,6756,76,362,35,215,13,84,4,22,2,11
0.2,5.2907964157993,0.9306640625,71,228,56,148,5,11,0,0,0,0,0,0
0.30000000000000004,14.077407719501466,0.7900390625,215,1418,74,340,31,200,4,44,0,0,0,0
0.4,6.460369320487603,0.7158203125,291,1650,162,704,39,254,1,10,0,0,0,0
0.5,6.48889068288656,0.513671875,498,3136,225,1056,75,524,4,42,0,0,0,0
0.6000000000000001,10.434366195333844,0.201171875,818,5878,149,740,63,429,28,221,3,22,0,0
0.7,8.845543132050551,0.08984375,932,6940,125,652,69,450,30,237,5,44,0,0
0.8,14.707716454220868,0.0498046875,973,7322,46,220,21,127,8,48,4,26,3,18
0.2,14.81375421708684,0.962890625,38,234,20,94,6,44,0,0,0,0,0,0
0.30000000000000004,12.245375030154594,0.7958984375,209,1366,65,290,24,152,6,49,0,0,0,0
0.4,13.276773045326964,0.736328125,270,1836,72,336,26,165,6,55,1,11,0,0
0.5,7.525324619394245,0.548828125,462,2852,198,856,56,382,8,62,0,0,0,0
0.6000000000000001,7.67068051169974,0.287109375,730,5068,190,880,60,435,26,246,1,18,0,0
0.7,6.302445673600304,0.1005859375,921,6698,141,698,64,411,17,146,8,83,0,0
0.8,5.34562268182337,0.0458984375,977,7230,119,652,70,458,30,216,6,44,0,0
0.2,6.139947141499633,0.935546875,66,250,60,214,2,7,0,0,0,0,0,0
0.30000000000000004,5.470038564599866,0.892578125,110,482,77,270,11,51,0,0,0,0,0,0
0.4,13.818131373959329,0.712890625,294,1912,105,470,39,256,6,57,0,0,0,0
0.5,7.6772829908103315,0.48828125,524,3432,194,880,62,428,12,120,0,0,0,0
0.6000000000000001,8.199861192385255,0.25,768,5398,168,826,76,490,23,186,2,20,0,0
0.7,9.842286608528795,0.1025390625,919,6800,88,448,49,309,29,197,7,50,0,0
0.8,14.29372392106982,0.1259765625,895,6584,109,560,50,336,21,164,8,65,0,0
