Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.5,13.102001035530513,0.5703125,440,3044,128,618,52,364,13,109,0,0,0,0
0.5,9.016843447639856,0.5361328125,475,3088,172,790,61,395,10,92,0,0,0,0
0.5,7.039707786835062,0.5185546875,493,3118,220,1028,59,426,8,84,0,0,0,0
0.5,5.360366084374415,0.5078125,504,3012,249,1122,73,477,3,32,0,0,0,0
0.5,5.6189744501632335,0.51171875,500,2920,257,1116,69,457,3,30,0,0,0,0
0.5,8.13042533787925,0.4912109375,521,3460,203,1008,70,504,9,82,0,0,0,0
0.5,5.007909854391692,0.4775390625,535,3192,268,1228,77,496,3,27,0,0,0,0
0.5,7.855297445377225,0.4794921875,533,3520,200,936,63,448,12,111,0,0,0,0
0.5,13.270366137923093,0.4833984375,529,3736,133,622,44,317,14,134,2,26,0,0
0.5,9.537935403340981,0.53125,480,3142,195,946,71,503,6,55,0,0,0,0
0.5,14.369936206674128,0.3427734375,673,4816,157,782,60,438,24,202,1,12,0,0
0.5,13.028649704225652,0.478515625,534,3706,162,798,56,410,17,151,0,0,0,0
0.5,7.209211201879828,0.466796875,546,3572,216,1036,82,568,7,67,0,0,0,0
0.5,10.72620942996674,0.5224609375,489,3280,177,836,56,393,12,131,0,0,0,0
0.5,11.532840964135474,0.478515625,534,3628,165,768,63,433,11,108,1,13,0,0
0.5,10.24679009615662,0.49609375,516,3482,186,886,62,442,12,128,0,0,0,0
0.5,5.277811404907516,0.484375,528,3242,252,1186,76,522,4,33,0,0,0,0
0.5,9.73659753750423,0.4931640625,519,3432,171,792,68,441,12,109,0,0,0,0
0.5,10.194187534006325,0.50390625,508,3460,169,814,65,454,12,118,0,0,0,0
0.5,11.798200916538713,0.5234375,488,3280,161,742,61,415,12,120,0,0,0,0
0.5,9.584227929621125,0.5625,448,2930,175,804,55,381,9,85,0,0,0,0
0.5,5.078389061160603,0.541015625,470,2700,260,1150,70,465,0,0,0,0,0,0
0.5,7.305108343284897,0.5341796875,477,3024,195,908,70,451,6,60,0,0,0,0
0.5,6.092888730634751,0.552734375,458,2712,233,994,59,419,4,50,0,0,0,0
0.5,11.65543408710803,0.4345703125,579,3932,168,792,65,424,14,131,1,14,0,0
0.5,5.341552627896116,0.453125,560,3530,269,1324,89,621,2,18,0,0,0,0
0.5,5.085231274575255,0.51171875,500,2890,266,1176,70,458,2,16,0,0,0,0
0.5,8.915815227031912,0.4794921875,533,3516,212,1032,75,527,8,83,0,0,0,0
0.5,14.239486151766897,0.6728515625,335,2274,104,492,41,278,5,52,1,15,0,0
0.5,10.26123157467473,0.4541015625,559,3814,184,880,65,455,15,148,0,0,0,0
0.5,7.751098502517304,0.5546875,456,2930,150,622,50,307,13,120,0,0,0,0
0.5,7.280441984231217,0.48828125,524,3430,221,1084,77,560,6,60,0,0,0,0
0.5,7.090395187190026,0.4833984375,529,3434,199,914,66,454,11,100,0,0,0,0
0.5,13.229753287909718,0.521484375,490,3362,118,526,48,292,11,88,2,25,0,0
0.5,14.585262101320302,0.5400390625,471,3156,141,632,54,344,10,90,1,16,0,0
0.5,10.779256868700232,0.4267578125,587,4026,167,816,64,442,19,151,0,0,0,0
0.5,11.027410199859796,0.4755859375,537,3678,168,806,63,440,15,148,0,0,0,0
0.5,10.638521120325501,0.4599609375,553,3774,163,766,66,441,16,142,0,0,0,0
0.5,14.508026531623527,0.4462890625,567,4000,132,636,57,362,18,153,1,11,0,0
0.5,9.59851485836615,0.4658203125,547,3716,184,906,73,502,12,111,0,0,0,0
0.5,5.7976063081782,0.50390625,508,3070,247,1150,79,513,2,14,0,0,0,0
0.5,10.56129797889539,0.4296875,584,3994,155,732,71,448,14,124,1,9,0,0
0.5,8.940135566167166,0.486328125,526,3470,184,850,66,434,12,111,0,0,0,0
0.5,7.266551398919433,0.5556640625,455,2774,218,990,67,444,3,36,0,0,0,0
0.5,6.012743602320966,0.515625,496,2952,271,1224,63,456,3,28,0,0,0,0
0.5,12.850173095468481,0.4736328125,539,3796,131,640,60,399,19,163,0,0,0,0
0.5,10.297146841567454,0.572265625,438,2828,159,708,53,366,10,88,0,0,0,0
0.5,14.247039757892301,0.5751953125,435,2944,132,612,53,344,12,111,0,0,0,0
0.5,5.048467386995561,0.4833984375,529,3078,304,1414,71,486,1,6,0,0,0,0
0.5,14.989301359795535,0.26953125,748,5446,172,902,76,545,25,221,1,12,0,0
0.5,7.052082103355498,0.509765625,502,3146,229,1094,75,514,4,33,0,0,0,0
0.5,12.955828378771866,0.5625,448,3100,115,524,47,307,16,141,0,0,0,0
0.5,8.811476143488129,0.447265625,566,3752,194,908,76,504,12,108,0,0,0,0
0.5,10.541678790034414,0.5400390625,471,3112,168,796,61,409,10,91,0,0,0,0
0.5,7.240540930947744,0.5869140625,423,2576,195,848,52,347,6,57,0,0,0,0
0.5,14.54359853415593,0.5224609375,489,3444,114,544,49,322,15,124,1,10,0,0
0.5,13.355535155738933,0.4775390625,535,3732,142,698,59,404,18,154,0,0,0,0
0.5,10.68687192650097,0.4599609375,553,3770,172,830,71,480,14,125,0,0,0,0
0.5,12.646314981996426,0.4697265625,543,3844,150,744,59,408,14,128,1,17,0,0
0.5,14.98964572205013,0.447265625,566,4076,128,660,62,421,17,144,1,12,0,0
0.5,13.436240425166318,0.576171875,434,2914,137,632,47,318,13,108,0,0,0,0
0.5,6.732291050790586,0.3896484375,625,4096,265,1322,84,626,9,86,0,0,0,0
0.5,10.322201746067087,0.5244140625,487,3180,178,808,59,400,11,94,0,0,0,0
0.5,8.047026072222735,0.490234375,522,3394,183,844,69,457,11,85,0,0,0,0
0.5,13.03545895199328,0.4794921875,533,3718,167,850,66,473,14,126,0,0,0,0
0.5,6.069318566316976,0.486328125,526,3244,256,1160,66,469,6,69,0,0,0,0
0.5,14.479080339411034,0.50390625,508,3634,94,442,42,270,16,125,2,24,0,0
0.5,11.46152327102556,0.4375,576,3912,159,748,67,431,18,138,0,0,0,0
0.5,11.851037775683062,0.5869140625,423,2774,150,658,43,301,12,110,0,0,0,0
0.5,7.966008712854457,0.578125,432,2710,144,596,48,282,8,64,1,11,0,0
0.5,13.995352718287457,0.5029296875,509,3510,152,754,67,440,13,121,0,0,0,0
0.5,5.303873357117439,0.451171875,562,3434,283,1320,77,533,4,38,0,0,0,0
0.5,8.562979952583259,0.5400390625,471,3048,192,894,57,406,9,86,0,0,0,0
